City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
59,Butaritari,3.0707,172.7902,82.78,74,87,12.37,overcast clouds,KI,2022-08-06 05:10:46
60,Okhotsk,59.3833,143.3,57.56,86,100,17.49,overcast clouds,RU,2022-08-06 05:06:50
61,Qaanaaq,77.484,-69.3632,36.07,64,31,4.05,scattered clouds,GL,2022-08-06 05:10:47
62,Tasiilaq,65.6145,-37.6368,41.16,73,97,3.18,overcast clouds,GL,2022-08-06 05:10:47
63,Pevek,69.7008,170.3133,36.05,98,100,6.62,light rain,RU,2022-08-06 05:10:48
64,Naifaru,5.4444,73.3657,81.07,81,99,17.09,light rain,MV,2022-08-06 05:10:49
65,Nuuk,64.1835,-51.7216,43.41,93,100,2.3,fog,GL,2022-08-06 05:10:50
66,San Carlos De Bariloche,-41.1456,-71.3082,31.05,96,100,4.72,light snow,AR,2022-08-06 05:07:53
67,Camacha,33.0833,-16.3333,67.42,83,75,9.22,broken clouds,PT,2022-08-06 05:10:52
68,Jamestown,42.097,-79.2353,71.71,72,0,1.99,clear sky,US,2022-08-06 05:10:27
69,Port Elizabeth,-33.918,25.5701,51.31,87,51,1.01,broken clouds,ZA,2022-08-06 05:10:53
70,Rikitea,-23.1203,-134.9692,70.25,60,79,17.76,broken clouds,PF,2022-08-06 05:10:53
71,Arraial Do Cabo,-22.9661,-42.0278,69.15,79,47,15.93,scattered clouds,BR,2022-08-06 05:10:54
72,Prince Rupert,54.3161,-130.3201,56.79,94,100,1.68,overcast clouds,CA,2022-08-06 05:10:31
73,Whitley Bay,55.0397,-1.4471,53.51,87,0,3.44,clear sky,GB,2022-08-06 05:10:55
74,Esperance,-33.8667,121.9,58.57,51,43,10.33,scattered clouds,AU,2022-08-06 05:10:56
75,Castro,-24.7911,-50.0119,54.68,91,35,9.22,scattered clouds,BR,2022-08-06 05:06:45
76,Sao Felix Do Xingu,-6.6447,-51.995,72.32,73,56,1.23,broken clouds,BR,2022-08-06 05:10:56
77,Port-Cartier,50.0334,-66.8654,56.75,60,78,5.64,broken clouds,CA,2022-08-06 05:10:58
78,Camana,-16.6228,-72.7111,59.65,89,59,7.31,broken clouds,PE,2022-08-06 05:10:59
79,Greeneville,36.1632,-82.831,69.94,97,75,1.01,broken clouds,US,2022-08-06 05:11:01
80,Tornio,65.8481,24.1466,60.82,80,100,5.88,light rain,FI,2022-08-06 05:11:03
81,Kirakira,-10.4544,161.9205,84.25,73,97,11.99,overcast clouds,SB,2022-08-06 05:11:04
82,Angren,41.0167,70.1436,84.31,24,0,4.94,clear sky,UZ,2022-08-06 05:11:05
83,Saldanha,-33.0117,17.9442,53.51,90,1,11.63,clear sky,ZA,2022-08-06 05:08:03
84,Fairbanks,64.8378,-147.7164,57.16,82,75,5.75,broken clouds,US,2022-08-06 05:11:13
85,Souillac,-20.5167,57.5167,71.56,57,0,10.18,clear sky,MU,2022-08-06 05:11:13
86,Hamilton,39.1834,-84.5333,75.15,94,100,1.01,mist,US,2022-08-06 05:08:49
87,Mar Del Plata,-38.0023,-57.5575,42.1,90,99,3.44,overcast clouds,AR,2022-08-06 05:11:14
88,Bethel,41.3712,-73.414,77.31,92,0,0.0,clear sky,US,2022-08-06 05:10:32
89,Gigmoto,13.7796,124.39,82.27,77,100,10.27,moderate rain,PH,2022-08-06 05:11:16
90,Hobart,-42.8794,147.3294,48.06,78,75,16.11,broken clouds,AU,2022-08-06 05:11:04
91,Kaohsiung,22.6163,120.3133,91.49,71,40,10.36,scattered clouds,TW,2022-08-06 05:11:16
92,Datong,40.0936,113.2914,93.27,34,49,9.69,scattered clouds,CN,2022-08-06 05:12:19
93,San Pedro,14.35,121.0167,84.31,78,100,6.53,overcast clouds,PH,2022-08-06 05:12:20
94,Jacksonville,30.3322,-81.6556,82.4,87,20,8.05,few clouds,US,2022-08-06 05:08:02
95,Carnarvon,-24.8667,113.6333,68.88,37,0,7.07,clear sky,AU,2022-08-06 05:11:08
96,Kikwit,-5.041,18.8162,71.76,33,59,0.54,broken clouds,CD,2022-08-06 05:12:22
97,San Ignacio,17.1561,-89.0714,73.54,100,0,0.0,clear sky,BZ,2022-08-06 05:12:22
98,Comarapa,-17.9,-64.4833,52.79,96,100,1.07,overcast clouds,BO,2022-08-06 05:12:23
99,Husavik,66.0449,-17.3389,50.13,73,70,7.94,broken clouds,IS,2022-08-06 05:12:24
100,Guerrero Negro,27.9769,-114.0611,71.31,87,16,12.73,few clouds,MX,2022-08-06 05:07:46
101,Palmas,-10.2128,-48.3603,76.87,65,0,2.3,clear sky,BR,2022-08-06 05:12:25
102,Asau,46.4333,26.4,65.32,70,2,2.86,clear sky,RO,2022-08-06 05:12:26
103,Linz,48.3064,14.2861,70.68,87,75,6.91,broken clouds,AT,2022-08-06 05:12:27
104,Cape Town,-33.9258,18.4232,55.9,90,18,11.99,few clouds,ZA,2022-08-06 05:12:30
105,Rehoboth,-23.3167,17.0833,52.97,40,10,4.18,clear sky,NA,2022-08-06 05:12:30
106,Ancud,-41.8697,-73.8203,40.23,88,6,6.8,clear sky,CL,2022-08-06 05:12:31
107,Houma,29.5958,-90.7195,78.01,93,0,0.0,clear sky,US,2022-08-06 05:09:59
108,Khatanga,71.9667,102.5,69.46,55,33,8.7,light rain,RU,2022-08-06 05:12:32
109,Chokurdakh,70.6333,147.9167,60.31,42,16,7.23,few clouds,RU,2022-08-06 05:12:33
